OID,ID,NID,WEIGHT
1,1,18,1
2,1,24,1
3,1,31,1
4,1,77,1
5,1,139,1
6,2,22,1
7,2,37,1
8,2,96,1
9,2,101,1
10,2,124,1
11,2,161,1
12,3,20,1
13,3,38,1
14,3,47,1
15,3,59,1
16,3,68,1
17,3,116,1
18,4,11,1
19,4,35,1
20,4,69,1
21,4,90,1
22,4,91,1
23,5,36,1
24,5,40,1
25,5,87,1
26,5,133,1
27,5,158,1
28,6,22,1
29,6,34,1
30,6,37,1
31,6,79,1
32,7,13,1
33,7,21,1
34,7,45,1
35,7,46,1
36,7,105,1
37,7,106,1
38,8,37,1
39,8,124,1
40,8,127,1
41,9,10,1
42,9,14,1
43,9,23,1
44,9,41,1
45,9,61,1
46,9,102,1
47,9,132,1
48,9,156,1
49,10,9,1
50,10,19,1
51,10,61,1
52,10,113,1
53,10,156,1
54,11,4,1
55,11,35,1
56,11,69,1
57,11,71,1
58,11,168,1
59,12,14,1
60,12,25,1
61,12,26,1
62,12,51,1
63,12,166,1
64,13,7,1
65,13,30,1
66,13,45,1
67,13,46,1
68,13,97,1
69,13,162,1
70,14,9,1
71,14,12,1
72,14,25,1
73,14,41,1
74,14,61,1
75,14,113,1
76,15,28,1
77,15,43,1
78,15,57,1
79,15,146,1
80,15,148,1
81,15,155,1
82,16,80,1
83,16,111,1
84,16,121,1
85,16,138,1
86,16,159,1
87,17,32,1
88,17,42,1
89,17,50,1
90,17,150,1
91,17,163,1
92,18,1,1
93,18,24,1
94,18,76,1
95,18,139,1
96,18,165,1
97,19,10,1
98,19,92,1
99,19,112,1
100,19,113,1
101,19,156,1
102,20,3,1
103,20,48,1
104,20,58,1
105,20,59,1
106,20,98,1
107,20,116,1
108,20,122,1
109,20,138,1
110,21,7,1
111,21,38,1
112,21,44,1
113,21,46,1
114,21,75,1
115,21,80,1
116,21,105,1
117,21,143,1
118,22,2,1
119,22,6,1
120,22,33,1
121,22,37,1
122,22,79,1
123,22,161,1
124,23,9,1
125,23,103,1
126,23,132,1
127,23,156,1
128,24,1,1
129,24,18,1
130,24,77,1
131,24,108,1
132,24,165,1
133,25,12,1
134,25,14,1
135,25,41,1
136,25,51,1
137,25,65,1
138,25,136,1
139,26,12,1
140,26,119,1
141,26,166,1
142,27,47,1
143,27,49,1
144,27,123,1
145,28,15,1
146,28,100,1
147,28,129,1
148,28,146,1
149,28,155,1
150,28,161,1
151,29,32,1
152,29,50,1
153,29,78,1
154,29,98,1
155,29,147,1
156,29,149,1
157,30,13,1
158,30,46,1
159,30,68,1
160,30,135,1
161,30,162,1
162,30,164,1
163,31,1,1
164,31,64,1
165,31,139,1
166,32,17,1
167,32,29,1
168,32,50,1
169,33,22,1
170,33,79,1
171,33,108,1
172,33,161,1
173,34,6,1
174,34,37,1
175,34,77,1
176,34,79,1
177,35,4,1
178,35,11,1
179,35,90,1
180,35,168,1
181,36,5,1
182,36,55,1
183,36,65,1
184,36,87,1
185,36,136,1
186,36,158,1
187,37,2,1
188,37,6,1
189,37,8,1
190,37,22,1
191,37,34,1
192,37,124,1
193,38,3,1
194,38,21,1
195,38,46,1
196,38,68,1
197,38,75,1
198,38,116,1
199,38,122,1
200,39,60,1
201,39,87,1
202,39,97,1
203,39,106,1
204,39,133,1
205,39,169,1
206,39,170,1
207,40,5,1
208,40,133,1
209,41,9,1
210,41,14,1
211,41,25,1
212,41,102,1
213,41,136,1
214,42,17,1
215,42,70,1
216,42,99,1
217,42,128,1
218,42,150,1
219,42,163,1
220,43,15,1
221,43,70,1
222,43,89,1
223,43,99,1
224,43,117,1
225,43,129,1
226,43,148,1
227,43,155,1
228,44,21,1
229,44,63,1
230,44,105,1
231,44,142,1
232,44,143,1
233,45,7,1
234,45,13,1
235,45,97,1
236,45,106,1
237,45,170,1
238,46,7,1
239,46,13,1
240,46,21,1
241,46,30,1
242,46,38,1
243,46,68,1
244,47,3,1
245,47,27,1
246,47,49,1
247,47,59,1
248,47,68,1
249,47,123,1
250,47,131,1
251,47,135,1
252,48,20,1
253,48,58,1
254,48,98,1
255,48,138,1
256,49,27,1
257,49,47,1
258,49,59,1
259,49,123,1
260,49,126,1
261,50,17,1
262,50,29,1
263,50,32,1
264,50,86,1
265,50,134,1
266,50,147,1
267,50,163,1
268,51,12,1
269,51,25,1
270,51,65,1
271,51,110,1
272,51,166,1
273,52,53,1
274,52,54,1
275,52,72,1
276,52,153,1
277,53,52,1
278,53,54,1
279,53,72,1
280,53,133,1
281,53,160,1
282,54,52,1
283,54,53,1
284,54,66,1
285,54,133,1
286,54,153,1
287,54,158,1
288,55,36,1
289,55,66,1
290,55,74,1
291,55,102,1
292,55,109,1
293,55,136,1
294,55,144,1
295,55,158,1
296,56,57,1
297,56,88,1
298,56,107,1
299,56,114,1
300,56,130,1
301,56,131,1
302,56,146,1
303,57,15,1
304,57,56,1
305,57,88,1
306,57,123,1
307,57,125,1
308,57,126,1
309,57,146,1
310,57,148,1
311,57,152,1
312,58,20,1
313,58,48,1
314,58,98,1
315,59,3,1
316,59,20,1
317,59,47,1
318,59,49,1
319,59,78,1
320,59,98,1
321,59,126,1
322,59,147,1
323,59,152,1
324,60,39,1
325,60,97,1
326,60,133,1
327,60,137,1
328,60,160,1
329,60,162,1
330,61,9,1
331,61,10,1
332,61,14,1
333,61,113,1
334,62,64,1
335,62,76,1
336,62,139,1
337,62,145,1
338,62,167,1
339,63,44,1
340,63,67,1
341,63,94,1
342,63,105,1
343,63,142,1
344,63,170,1
345,64,31,1
346,64,62,1
347,64,84,1
348,64,139,1
349,64,145,1
350,65,25,1
351,65,36,1
352,65,51,1
353,65,87,1
354,65,110,1
355,65,136,1
356,66,54,1
357,66,55,1
358,66,74,1
359,66,120,1
360,66,141,1
361,66,153,1
362,66,158,1
363,67,63,1
364,67,94,1
365,67,110,1
366,67,119,1
367,67,154,1
368,67,166,1
369,67,169,1
370,67,170,1
371,68,3,1
372,68,30,1
373,68,38,1
374,68,46,1
375,68,47,1
376,68,135,1
377,69,4,1
378,69,11,1
379,69,91,1
380,70,42,1
381,70,43,1
382,70,99,1
383,70,128,1
384,70,148,1
385,70,157,1
386,71,11,1
387,71,83,1
388,71,145,1
389,71,161,1
390,71,167,1
391,71,168,1
392,72,52,1
393,72,53,1
394,72,82,1
395,72,85,1
396,72,95,1
397,72,153,1
398,72,160,1
399,73,85,1
400,73,137,1
401,73,162,1
402,73,164,1
403,74,55,1
404,74,66,1
405,74,109,1
406,74,132,1
407,74,141,1
408,74,151,1
409,75,21,1
410,75,38,1
411,75,80,1
412,75,122,1
413,75,138,1
414,76,18,1
415,76,62,1
416,76,83,1
417,76,139,1
418,76,165,1
419,76,167,1
420,77,1,1
421,77,24,1
422,77,34,1
423,77,79,1
424,77,108,1
425,78,29,1
426,78,59,1
427,78,98,1
428,78,147,1
429,79,6,1
430,79,22,1
431,79,33,1
432,79,34,1
433,79,77,1
434,79,108,1
