OID_,ID,NID,WEIGHT
1,39,40,1.000000000000000
2,39,63,1.000000000000000
3,39,64,1.000000000000000
4,63,39,1.000000000000000
5,63,64,1.000000000000000
6,63,91,1.000000000000000
7,63,92,1.000000000000000
8,22,9,1.000000000000000
9,22,23,1.000000000000000
10,22,40,1.000000000000000
11,40,22,1.000000000000000
12,40,23,1.000000000000000
13,40,39,1.000000000000000
14,40,41,1.000000000000000
15,40,64,1.000000000000000
16,64,39,1.000000000000000
17,64,40,1.000000000000000
18,64,41,1.000000000000000
19,64,63,1.000000000000000
20,64,65,1.000000000000000
21,64,92,1.000000000000000
22,1,2,1.000000000000000
23,1,9,1.000000000000000
24,1,10,1.000000000000000
25,9,1,1.000000000000000
26,9,10,1.000000000000000
27,9,22,1.000000000000000
28,9,23,1.000000000000000
29,9,24,1.000000000000000
30,23,9,1.000000000000000
31,23,22,1.000000000000000
32,23,24,1.000000000000000
33,23,40,1.000000000000000
34,23,41,1.000000000000000
35,23,42,1.000000000000000
36,41,23,1.000000000000000
37,41,40,1.000000000000000
38,41,42,1.000000000000000
39,41,64,1.000000000000000
40,41,65,1.000000000000000
41,41,66,1.000000000000000
42,65,41,1.000000000000000
43,65,64,1.000000000000000
44,65,66,1.000000000000000
45,65,92,1.000000000000000
46,65,93,1.000000000000000
47,65,94,1.000000000000000
48,2,1,1.000000000000000
49,2,3,1.000000000000000
50,2,10,1.000000000000000
51,10,1,1.000000000000000
52,10,2,1.000000000000000
53,10,3,1.000000000000000
54,10,9,1.000000000000000
55,10,11,1.000000000000000
56,10,24,1.000000000000000
57,24,9,1.000000000000000
58,24,10,1.000000000000000
59,24,11,1.000000000000000
60,24,23,1.000000000000000
61,24,25,1.000000000000000
62,24,42,1.000000000000000
63,42,23,1.000000000000000
64,42,24,1.000000000000000
65,42,25,1.000000000000000
66,42,41,1.000000000000000
67,42,43,1.000000000000000
68,42,66,1.000000000000000
69,66,41,1.000000000000000
70,66,42,1.000000000000000
71,66,43,1.000000000000000
72,66,65,1.000000000000000
73,66,67,1.000000000000000
74,66,94,1.000000000000000
75,3,2,1.000000000000000
76,3,4,1.000000000000000
77,3,10,1.000000000000000
78,3,11,1.000000000000000
79,3,12,1.000000000000000
80,11,3,1.000000000000000
81,11,10,1.000000000000000
82,11,12,1.000000000000000
83,11,24,1.000000000000000
84,11,25,1.000000000000000
85,11,26,1.000000000000000
86,4,3,1.000000000000000
87,4,5,1.000000000000000
88,4,12,1.000000000000000
89,12,3,1.000000000000000
90,12,4,1.000000000000000
91,12,5,1.000000000000000
92,12,11,1.000000000000000
93,12,13,1.000000000000000
94,12,26,1.000000000000000
95,26,11,1.000000000000000
96,26,12,1.000000000000000
97,26,13,1.000000000000000
98,26,25,1.000000000000000
99,26,27,1.000000000000000
100,26,44,1.000000000000000
101,5,4,1.000000000000000
102,5,6,1.000000000000000
103,5,12,1.000000000000000
104,5,13,1.000000000000000
105,5,14,1.000000000000000
106,13,5,1.000000000000000
107,13,12,1.000000000000000
108,13,14,1.000000000000000
109,13,26,1.000000000000000
110,13,27,1.000000000000000
111,13,28,1.000000000000000
112,6,5,1.000000000000000
113,6,7,1.000000000000000
114,6,14,1.000000000000000
115,14,5,1.000000000000000
116,14,6,1.000000000000000
117,14,7,1.000000000000000
118,14,13,1.000000000000000
119,14,15,1.000000000000000
120,14,28,1.000000000000000
121,28,13,1.000000000000000
122,28,14,1.000000000000000
123,28,15,1.000000000000000
124,28,27,1.000000000000000
125,28,29,1.000000000000000
126,28,46,1.000000000000000
127,25,11,1.000000000000000
128,25,24,1.000000000000000
129,25,26,1.000000000000000
130,25,42,1.000000000000000
131,25,43,1.000000000000000
132,25,44,1.000000000000000
133,43,25,1.000000000000000
134,43,42,1.000000000000000
135,43,44,1.000000000000000
136,43,66,1.000000000000000
137,43,67,1.000000000000000
138,43,68,1.000000000000000
139,67,43,1.000000000000000
140,67,66,1.000000000000000
141,67,68,1.000000000000000
142,67,94,1.000000000000000
143,67,95,1.000000000000000
144,67,96,1.000000000000000
145,44,25,1.000000000000000
146,44,26,1.000000000000000
147,44,27,1.000000000000000
148,44,43,1.000000000000000
149,44,45,1.000000000000000
150,44,68,1.000000000000000
151,68,43,1.000000000000000
152,68,44,1.000000000000000
153,68,45,1.000000000000000
154,68,67,1.000000000000000
155,68,69,1.000000000000000
156,68,96,1.000000000000000
157,27,13,1.000000000000000
158,27,26,1.000000000000000
159,27,28,1.000000000000000
160,27,44,1.000000000000000
161,27,45,1.000000000000000
162,27,46,1.000000000000000
163,45,27,1.000000000000000
164,45,44,1.000000000000000
165,45,46,1.000000000000000
166,45,68,1.000000000000000
167,45,69,1.000000000000000
168,45,70,1.000000000000000
169,69,45,1.000000000000000
170,69,68,1.000000000000000
171,69,70,1.000000000000000
172,69,96,1.000000000000000
173,69,97,1.000000000000000
174,69,98,1.000000000000000
175,46,27,1.000000000000000
176,46,28,1.000000000000000
177,46,29,1.000000000000000
178,46,45,1.000000000000000
179,46,47,1.000000000000000
180,46,70,1.000000000000000
181,70,45,1.000000000000000
182,70,46,1.000000000000000
183,70,47,1.000000000000000
184,70,69,1.000000000000000
185,70,71,1.000000000000000
186,70,98,1.000000000000000
187,125,91,1.000000000000000
188,125,126,1.000000000000000
189,125,165,1.000000000000000
190,91,63,1.000000000000000
191,91,92,1.000000000000000
192,91,125,1.000000000000000
193,91,126,1.000000000000000
194,91,127,1.000000000000000
195,126,91,1.000000000000000
196,126,125,1.000000000000000
197,126,127,1.000000000000000
198,126,165,1.000000000000000
199,126,166,1.000000000000000
200,126,167,1.000000000000000
201,92,63,1.000000000000000
202,92,64,1.000000000000000
203,92,65,1.000000000000000
204,92,91,1.000000000000000
205,92,93,1.000000000000000
206,92,127,1.000000000000000
207,127,91,1.000000000000000
208,127,92,1.000000000000000
209,127,93,1.000000000000000
210,127,126,1.000000000000000
211,127,128,1.000000000000000
212,127,167,1.000000000000000
213,93,65,1.000000000000000
214,93,92,1.000000000000000
215,93,94,1.000000000000000
216,93,127,1.000000000000000
217,93,128,1.000000000000000
218,93,129,1.000000000000000
219,128,93,1.000000000000000
220,128,127,1.000000000000000
221,128,129,1.000000000000000
222,128,167,1.000000000000000
223,128,168,1.000000000000000
224,128,169,1.000000000000000
225,164,165,1.000000000000000
226,164,206,1.000000000000000
227,164,207,1.000000000000000
228,206,164,1.000000000000000
229,206,207,1.000000000000000
230,206,248,1.000000000000000
231,206,249,1.000000000000000
232,165,125,1.000000000000000
233,165,126,1.000000000000000
234,165,164,1.000000000000000
235,165,166,1.000000000000000
236,165,207,1.000000000000000
237,207,164,1.000000000000000
238,207,165,1.000000000000000
239,207,166,1.000000000000000
240,207,206,1.000000000000000
241,207,208,1.000000000000000
242,207,249,1.000000000000000
243,249,206,1.000000000000000
244,249,207,1.000000000000000
245,249,208,1.000000000000000
246,249,248,1.000000000000000
247,249,250,1.000000000000000
248,249,291,1.000000000000000
249,166,126,1.000000000000000
250,166,165,1.000000000000000
251,166,167,1.000000000000000
252,166,207,1.000000000000000
253,166,208,1.000000000000000
254,166,209,1.000000000000000
255,208,166,1.000000000000000
256,208,207,1.000000000000000
257,208,209,1.000000000000000
258,208,249,1.000000000000000
259,208,250,1.000000000000000
260,208,251,1.000000000000000
261,167,126,1.000000000000000
262,167,127,1.000000000000000
263,167,128,1.000000000000000
264,167,166,1.000000000000000
265,167,168,1.000000000000000
266,167,209,1.000000000000000
267,209,166,1.000000000000000
268,209,167,1.000000000000000
269,209,168,1.000000000000000
270,209,208,1.000000000000000
271,209,210,1.000000000000000
272,209,251,1.000000000000000
273,251,208,1.000000000000000
274,251,209,1.000000000000000
275,251,210,1.000000000000000
276,251,250,1.000000000000000
277,251,252,1.000000000000000
278,251,293,1.000000000000000
279,168,128,1.000000000000000
280,168,167,1.000000000000000
281,168,169,1.000000000000000
282,168,209,1.000000000000000
283,168,210,1.000000000000000
284,168,211,1.000000000000000
285,210,168,1.000000000000000
286,210,209,1.000000000000000
287,210,211,1.000000000000000
288,210,251,1.000000000000000
289,210,252,1.000000000000000
290,210,253,1.000000000000000
291,94,65,1.000000000000000
292,94,66,1.000000000000000
293,94,67,1.000000000000000
294,94,93,1.000000000000000
295,94,95,1.000000000000000
296,94,129,1.000000000000000
297,129,93,1.000000000000000
298,129,94,1.000000000000000
299,129,95,1.000000000000000
300,129,128,1.000000000000000
301,129,130,1.000000000000000
302,129,169,1.000000000000000
