# id, s, p
1.000000,2.193517,0.014135
2.000000,2.063689,0.019524
3.000000,1.691964,0.045326
4.000000,3.615821,0.000150
5.000000,2.784129,0.002684
6.000000,1.992757,0.023144
7.000000,3.596587,0.000161
8.000000,0.637158,0.262011
9.000000,0.694133,0.243799
10.000000,2.137689,0.016271
11.000000,2.632251,0.004241
12.000000,2.859049,0.002125
13.000000,3.214188,0.000654
14.000000,2.602911,0.004622
15.000000,2.447429,0.007194
16.000000,1.797126,0.036158
17.000000,2.544198,0.005476
18.000000,0.934727,0.174965
19.000000,2.070465,0.019204
20.000000,2.240567,0.012527
21.000000,3.465086,0.000265
22.000000,2.790652,0.002630
23.000000,1.875938,0.030332
24.000000,1.443006,0.074509
25.000000,2.786289,0.002666
26.000000,2.062255,0.019592
27.000000,1.935766,0.026448
28.000000,2.551002,0.005371
29.000000,2.992599,0.001383
30.000000,2.297983,0.010781
31.000000,2.862133,0.002104
32.000000,2.123519,0.016855
33.000000,2.588410,0.004821
34.000000,2.051164,0.020125
35.000000,2.779222,0.002724
36.000000,2.700395,0.003463
37.000000,1.811096,0.035063
38.000000,1.538539,0.061958
39.000000,3.980829,0.000034
40.000000,1.797007,0.036167
41.000000,2.257271,0.011996
42.000000,2.540893,0.005528
43.000000,3.151620,0.000812
44.000000,2.163915,0.015235
45.000000,3.522698,0.000214
46.000000,2.729018,0.003176
47.000000,2.052661,0.020053
48.000000,2.320327,0.010162
49.000000,2.162042,0.015307
50.000000,2.923644,0.001730
51.000000,2.679975,0.003681
52.000000,2.081514,0.018693
53.000000,2.655015,0.003965
54.000000,1.806507,0.035420
55.000000,2.300152,0.010720
56.000000,3.618276,0.000148
57.000000,2.900836,0.001861
58.000000,2.344188,0.009534
59.000000,3.284473,0.000511
60.000000,3.237899,0.000602
61.000000,2.150954,0.015740
62.000000,1.085880,0.138766
63.000000,1.273365,0.101444
64.000000,2.651959,0.004001
65.000000,3.105282,0.000950
66.000000,1.965111,0.024701
67.000000,2.730236,0.003164
68.000000,0.140594,0.444095
69.000000,2.643826,0.004099
70.000000,2.898861,0.001873
71.000000,1.952475,0.025441
72.000000,2.275712,0.011432
73.000000,2.849699,0.002188
74.000000,1.687437,0.045760
75.000000,1.808482,0.035266
76.000000,2.375121,0.008772
77.000000,1.591898,0.055704
78.000000,2.356916,0.009214
79.000000,2.239720,0.012555
80.000000,2.373136,0.008819
81.000000,1.741060,0.040836
82.000000,2.905978,0.001831
83.000000,2.406070,0.008063
84.000000,1.778793,0.037637
85.000000,3.175408,0.000748
86.000000,2.312840,0.010366
87.000000,4.027025,0.000028
88.000000,3.119916,0.000905
89.000000,2.185948,0.014410
90.000000,3.164395,0.000777
91.000000,2.866416,0.002076
92.000000,1.420716,0.077700
93.000000,1.027390,0.152118
94.000000,1.803308,0.035670
95.000000,0.890618,0.186567
96.000000,0.189197,0.424969
97.000000,2.762025,0.002872
98.000000,3.402681,0.000334
99.000000,2.487585,0.006431
100.000000,1.405805,0.079891
101.000000,1.722996,0.042445
102.000000,1.914403,0.027784
103.000000,1.683134,0.046175
104.000000,1.694568,0.045079
105.000000,3.243459,0.000590
106.000000,3.987134,0.000033
107.000000,3.402106,0.000334
108.000000,2.574348,0.005021
109.000000,2.037559,0.020797
110.000000,2.994204,0.001376
111.000000,2.287368,0.011087
112.000000,1.485359,0.068724
113.000000,1.292717,0.098054
114.000000,3.056545,0.001120
115.000000,0.425212,0.335341
116.000000,0.667847,0.252115
117.000000,2.518349,0.005895
118.000000,0.812381,0.208286
119.000000,1.912963,0.027876
120.000000,2.647207,0.004058
121.000000,1.013448,0.155423
122.000000,0.834086,0.202116
123.000000,3.026104,0.001239
124.000000,1.225627,0.110170
125.000000,3.616025,0.000150
126.000000,1.720069,0.042710
127.000000,2.121578,0.016937
128.000000,2.340567,0.009627
129.000000,2.997072,0.001363
130.000000,1.868786,0.030826
131.000000,3.828582,0.000064
132.000000,1.507962,0.065782
133.000000,3.831020,0.000064
134.000000,1.455953,0.072703
135.000000,2.621597,0.004376
136.000000,2.961340,0.001532
137.000000,2.766565,0.002833
138.000000,-1.515939,0.064767
139.000000,1.660545,0.048402
140.000000,0.704578,0.240536
141.000000,-0.513646,0.303750
142.000000,0.747501,0.227380
143.000000,2.251377,0.012181
144.000000,1.938174,0.026301
145.000000,0.903869,0.183033
146.000000,1.988570,0.023374
147.000000,3.206872,0.000671
148.000000,2.460737,0.006933
149.000000,1.889035,0.029444
150.000000,2.036914,0.020829
151.000000,1.670920,0.047369
152.000000,2.429032,0.007570
153.000000,2.965182,0.001513
154.000000,2.758360,0.002905
155.000000,2.574758,0.005016
156.000000,2.016924,0.021852
157.000000,3.098566,0.000972
158.000000,1.937617,0.026335
159.000000,2.330870,0.009880
160.000000,2.984845,0.001419
161.000000,3.850638,0.000059
162.000000,2.862974,0.002098
163.000000,2.669318,0.003800
164.000000,3.216707,0.000648
165.000000,2.483061,0.006513
166.000000,2.648675,0.004040
167.000000,2.425207,0.007650
168.000000,2.164123,0.015227
169.000000,3.550270,0.000192
170.000000,4.670299,0.000002
