# id, s, p
1.000000,0.794650,0.213409
2.000000,0.560254,0.287653
3.000000,1.021406,0.153531
4.000000,0.719719,0.235849
5.000000,0.876743,0.190313
6.000000,0.433721,0.332246
7.000000,0.912519,0.180748
8.000000,1.103551,0.134894
9.000000,0.815482,0.207398
10.000000,0.855164,0.196230
11.000000,-0.414425,0.339281
12.000000,0.314478,0.376579
13.000000,0.483377,0.314414
14.000000,1.393317,0.081762
15.000000,1.539775,0.061808
16.000000,1.093343,0.137122
17.000000,0.972763,0.165336
18.000000,1.070761,0.142138
19.000000,1.173621,0.120273
20.000000,0.731516,0.232232
21.000000,1.343156,0.089611
22.000000,0.682969,0.247313
23.000000,0.832510,0.202561
24.000000,0.826296,0.204318
25.000000,0.270750,0.393292
26.000000,0.574794,0.282715
27.000000,0.214095,0.415236
28.000000,1.906737,0.028277
29.000000,1.854837,0.031810
30.000000,1.264852,0.102962
31.000000,1.519191,0.064357
32.000000,1.272194,0.101652
33.000000,1.035018,0.150330
34.000000,1.387734,0.082609
35.000000,1.909119,0.028123
36.000000,1.491975,0.067853
37.000000,1.526883,0.063395
38.000000,1.083635,0.139263
39.000000,1.070076,0.142293
40.000000,0.655932,0.255934
41.000000,1.074722,0.141250
42.000000,0.126068,0.449839
43.000000,1.054506,0.145826
44.000000,-0.702968,0.241038
45.000000,1.291206,0.098316
46.000000,1.371681,0.085081
47.000000,1.484540,0.068833
48.000000,1.431879,0.076089
49.000000,1.553101,0.060199
50.000000,1.405028,0.080006
51.000000,0.774125,0.219428
52.000000,1.457435,0.072498
53.000000,1.808315,0.035279
54.000000,1.827618,0.033803
55.000000,1.686942,0.045807
56.000000,1.430244,0.076323
57.000000,1.191613,0.116706
58.000000,0.972740,0.165341
59.000000,1.040245,0.149113
60.000000,0.642537,0.260262
61.000000,0.749218,0.226863
62.000000,1.070667,0.142159
63.000000,0.953854,0.170079
64.000000,1.019034,0.154094
65.000000,1.374368,0.084664
66.000000,0.207794,0.417695
67.000000,0.932340,0.175581
68.000000,1.156125,0.123815
69.000000,1.015194,0.155007
70.000000,0.091481,0.463555
71.000000,-0.212727,0.415770
