# id, s, p
1.000000,0.673708,0.250248
2.000000,0.531256,0.297621
3.000000,0.866134,0.193208
4.000000,0.848315,0.198131
5.000000,0.853498,0.196692
6.000000,0.297030,0.383222
7.000000,0.576949,0.281987
8.000000,1.070129,0.142281
9.000000,0.654956,0.256248
10.000000,0.556057,0.289086
11.000000,-0.906325,0.182382
12.000000,-0.384402,0.350340
13.000000,-0.450702,0.326102
14.000000,1.273655,0.101393
15.000000,1.441328,0.074746
16.000000,0.820792,0.205882
17.000000,1.102455,0.135132
18.000000,1.142949,0.126530
19.000000,1.178182,0.119362
20.000000,0.795561,0.213144
21.000000,1.298279,0.097096
22.000000,0.807361,0.209729
23.000000,1.033448,0.150697
24.000000,0.658980,0.254954
25.000000,-0.707792,0.239537
26.000000,0.066616,0.473444
27.000000,-0.705740,0.240175
28.000000,1.763228,0.038931
29.000000,1.910671,0.028023
30.000000,0.808119,0.209511
31.000000,1.230035,0.109342
32.000000,1.145792,0.125941
33.000000,1.145623,0.125976
34.000000,1.448412,0.073751
35.000000,1.793780,0.036424
36.000000,1.433802,0.075814
37.000000,1.444002,0.074369
38.000000,1.066484,0.143103
39.000000,1.024585,0.152779
40.000000,0.900070,0.184041
41.000000,1.032228,0.150983
42.000000,-0.122914,0.451088
43.000000,0.805477,0.210272
44.000000,-1.476237,0.069940
45.000000,1.078892,0.140318
46.000000,1.352909,0.088042
47.000000,1.595488,0.055302
48.000000,1.340923,0.089973
49.000000,1.373419,0.084811
50.000000,1.209119,0.113309
51.000000,1.050634,0.146713
52.000000,1.528995,0.063133
53.000000,1.767578,0.038566
54.000000,1.767578,0.038566
55.000000,1.683391,0.046150
56.000000,1.423654,0.077273
57.000000,1.145340,0.126034
58.000000,1.010586,0.156107
59.000000,0.750619,0.226441
60.000000,0.723267,0.234758
61.000000,0.612230,0.270193
62.000000,1.024341,0.152837
63.000000,0.852271,0.197032
64.000000,1.014652,0.155136
65.000000,1.183461,0.118313
66.000000,0.408317,0.341520
67.000000,0.636152,0.262339
68.000000,1.196955,0.115662
69.000000,0.822299,0.205453
70.000000,-0.202043,0.419942
71.000000,-0.892013,0.186193
72.000000,-0.397408,0.345533
73.000000,-0.784534,0.216363
74.000000,1.010991,0.156010
75.000000,1.216377,0.111921
76.000000,1.534494,0.062454
77.000000,1.685670,0.045930
78.000000,1.632249,0.051314
79.000000,1.564390,0.058863
80.000000,1.270876,0.101886
81.000000,1.201474,0.114784
82.000000,1.130011,0.129236
83.000000,1.380616,0.083698
84.000000,0.934271,0.175082
85.000000,1.165796,0.121848
86.000000,1.001099,0.158389
87.000000,1.275826,0.101009
88.000000,1.224600,0.110363
89.000000,1.302525,0.096368
90.000000,0.823042,0.205242
91.000000,0.859196,0.195116
92.000000,0.845658,0.198872
93.000000,1.308396,0.095369
94.000000,0.709256,0.239083
95.000000,1.087484,0.138411
96.000000,1.093766,0.137029
97.000000,1.583440,0.056661
98.000000,0.721649,0.235255
99.000000,0.371850,0.355002
100.000000,-0.105684,0.457917
101.000000,-0.623887,0.266351
102.000000,0.964086,0.167501
103.000000,0.897374,0.184760
104.000000,1.523700,0.063792
105.000000,1.709049,0.043721
106.000000,1.457086,0.072546
107.000000,1.464699,0.071502
108.000000,1.185606,0.117889
109.000000,1.232041,0.108967
110.000000,1.053188,0.146127
111.000000,1.298248,0.097101
112.000000,1.279615,0.100340
113.000000,1.183829,0.118240
114.000000,1.263783,0.103154
115.000000,1.187249,0.117565
116.000000,1.419346,0.077899
117.000000,1.607198,0.054006
118.000000,1.212906,0.112583
119.000000,0.752595,0.225847
120.000000,0.976614,0.164380
121.000000,1.328333,0.092034
122.000000,1.004382,0.157597
123.000000,1.196522,0.115746
124.000000,1.132518,0.128708
125.000000,0.761644,0.223136
126.000000,-0.100349,0.460034
127.000000,1.160071,0.123010
128.000000,-0.134511,0.446499
129.000000,0.313088,0.377107
130.000000,2.712012,0.003344
131.000000,0.610714,0.270695
132.000000,0.365126,0.357509
133.000000,1.735142,0.041358
134.000000,2.078779,0.018819
135.000000,-1.174830,0.120031
136.000000,0.781125,0.217364
137.000000,0.753242,0.225652
138.000000,1.114894,0.132448
139.000000,1.424827,0.077104
140.000000,1.742415,0.040718
141.000000,1.685285,0.045967
142.000000,1.231353,0.109095
143.000000,1.048992,0.147091
144.000000,1.472899,0.070389
145.000000,1.349303,0.088620
146.000000,1.119394,0.131486
147.000000,1.047944,0.147332
148.000000,1.346185,0.089121
149.000000,1.182532,0.118497
150.000000,1.320268,0.093373
151.000000,1.480749,0.069337
152.000000,1.701105,0.044462
153.000000,1.261633,0.103540
154.000000,0.985214,0.162260
155.000000,1.026702,0.152280
156.000000,1.194045,0.116230
157.000000,1.271649,0.101749
158.000000,1.440759,0.074826
159.000000,1.311668,0.094816
160.000000,1.553129,0.060196
161.000000,1.316110,0.094069
162.000000,1.046237,0.147726
163.000000,1.131424,0.128938
164.000000,0.775621,0.218986
165.000000,-0.148738,0.440880
166.000000,1.635296,0.050994
167.000000,0.484740,0.313930
168.000000,2.842298,0.002239
169.000000,1.613756,0.053290
170.000000,3.746972,0.000089
171.000000,1.988103,0.023400
172.000000,2.379784,0.008661
173.000000,0.613076,0.269913
174.000000,2.943498,0.001623
175.000000,1.382104,0.083470
176.000000,0.251183,0.400836
177.000000,0.713109,0.237889
178.000000,0.817651,0.206778
179.000000,1.585287,0.056451
180.000000,1.739499,0.040974
181.000000,1.589896,0.055929
182.000000,1.013110,0.155504
183.000000,1.058381,0.144941
184.000000,1.163314,0.122351
185.000000,0.949907,0.171080
186.000000,1.332563,0.091338
187.000000,1.341915,0.089812
188.000000,1.360134,0.086894
189.000000,1.347244,0.088951
190.000000,1.343261,0.089594
191.000000,1.418343,0.078045
192.000000,1.577151,0.057380
193.000000,1.421110,0.077642
194.000000,1.049742,0.146918
195.000000,0.614344,0.269494
196.000000,1.369823,0.085371
197.000000,1.579939,0.057060
198.000000,1.727847,0.042008
199.000000,1.638881,0.050619
200.000000,1.706304,0.043976
201.000000,1.646185,0.049863
202.000000,1.644414,0.050045
203.000000,1.359833,0.086941
204.000000,1.498675,0.066979
205.000000,1.179845,0.119031
206.000000,0.614986,0.269282
207.000000,0.362131,0.358627
208.000000,2.878786,0.001996
209.000000,1.586144,0.056353
210.000000,2.680961,0.003671
211.000000,2.390757,0.008407
212.000000,0.210280,0.416725
213.000000,0.786803,0.215699
214.000000,1.635158,0.051008
215.000000,2.753029,0.002952
216.000000,-1.275771,0.101018
217.000000,3.125010,0.000889
218.000000,1.517135,0.064616
219.000000,1.299927,0.096813
220.000000,0.729945,0.232712
221.000000,1.405856,0.079883
222.000000,1.728104,0.041985
223.000000,1.237290,0.107990
224.000000,0.590151,0.277545
225.000000,0.625062,0.265965
226.000000,2.310444,0.010432
227.000000,0.139588,0.444493
228.000000,1.109164,0.133680
229.000000,1.194966,0.116050
230.000000,1.159979,0.123029
231.000000,1.258361,0.104131
232.000000,1.364320,0.086233
233.000000,1.341934,0.089809
234.000000,1.421815,0.077540
235.000000,1.388817,0.082444
236.000000,1.360469,0.086841
237.000000,1.212157,0.112726
238.000000,1.652400,0.049227
239.000000,1.738736,0.041041
240.000000,1.765977,0.038700
241.000000,1.750090,0.040051
242.000000,1.559633,0.059423
243.000000,1.739949,0.040934
244.000000,1.783188,0.037278
245.000000,1.649166,0.049557
246.000000,1.699862,0.044578
247.000000,1.391933,0.081971
248.000000,0.844862,0.199094
249.000000,1.981339,0.023777
250.000000,2.428108,0.007589
251.000000,-0.136350,0.445772
252.000000,-0.584459,0.279456
253.000000,2.197087,0.014007
254.000000,1.349469,0.088593
255.000000,2.104349,0.017674
256.000000,0.703638,0.240829
257.000000,2.757642,0.002911
258.000000,3.185597,0.000722
259.000000,3.155662,0.000801
