# id, s, p
1.000000,-1.214999,0.112183
2.000000,-1.051985,0.146403
3.000000,0.404371,0.342970
4.000000,-0.876578,0.190358
5.000000,2.617387,0.004430
6.000000,-0.463432,0.321527
7.000000,-3.251659,0.000574
8.000000,-0.609388,0.271134
9.000000,-1.560082,0.059370
10.000000,1.307449,0.095530
11.000000,0.186130,0.426171
12.000000,-0.133107,0.447054
13.000000,-1.191293,0.116769
14.000000,-1.819724,0.034401
15.000000,-0.571660,0.283776
16.000000,0.370885,0.355362
17.000000,0.224810,0.411063
18.000000,-0.159243,0.436739
19.000000,-0.729715,0.232782
20.000000,0.085218,0.466044
21.000000,0.196823,0.421983
22.000000,1.336446,0.090702
23.000000,1.637310,0.050783
24.000000,1.292967,0.098011
25.000000,0.671896,0.250825
26.000000,0.125885,0.449911
27.000000,-0.011501,0.495412
28.000000,-1.730220,0.041795
29.000000,-1.720451,0.042675
30.000000,-2.749533,0.002984
31.000000,-0.483080,0.314519
32.000000,-1.571352,0.058051
33.000000,-0.340782,0.366634
34.000000,-4.384689,0.000006
35.000000,-2.041199,0.020616
36.000000,-0.188069,0.425411
37.000000,-1.065648,0.143291
38.000000,1.065766,0.143265
39.000000,-0.514658,0.303396
40.000000,-2.060592,0.019671
41.000000,-1.984312,0.023611
42.000000,-1.137279,0.127711
43.000000,0.332692,0.369683
44.000000,2.431175,0.007525
45.000000,1.255629,0.104625
46.000000,0.166993,0.433688
47.000000,1.139951,0.127153
48.000000,1.496871,0.067213
49.000000,1.549466,0.060635
50.000000,2.057131,0.019837
51.000000,1.535152,0.062373
52.000000,1.121121,0.131118
53.000000,1.065253,0.143381
54.000000,2.081643,0.018688
55.000000,-0.380247,0.351881
56.000000,-0.504357,0.307005
57.000000,0.344880,0.365092
58.000000,-2.314441,0.010322
59.000000,-0.616787,0.268688
60.000000,-1.113786,0.132685
61.000000,1.293563,0.097908
62.000000,0.256776,0.398676
63.000000,-1.208282,0.113469
64.000000,1.900089,0.028711
65.000000,-0.344290,0.365314
66.000000,1.432380,0.076018
67.000000,-0.204255,0.419077
68.000000,0.654006,0.256554
69.000000,-0.798356,0.212332
70.000000,0.370642,0.355452
71.000000,-1.483267,0.069002
72.000000,0.370209,0.355613
73.000000,0.762181,0.222976
74.000000,1.406213,0.079831
75.000000,2.382050,0.008608
76.000000,0.994216,0.160059
77.000000,2.442182,0.007299
78.000000,2.704325,0.003422
79.000000,2.658123,0.003929
80.000000,2.146427,0.015919
81.000000,1.420326,0.077756
82.000000,2.495029,0.006297
83.000000,1.248522,0.105920
84.000000,1.284390,0.099503
85.000000,-0.556287,0.289007
86.000000,0.914545,0.180215
87.000000,0.175994,0.430149
88.000000,0.751608,0.226144
89.000000,0.216791,0.414186
90.000000,0.283230,0.388500
91.000000,0.932022,0.175663
92.000000,1.837412,0.033075
93.000000,1.148577,0.125365
94.000000,1.687286,0.045774
95.000000,1.417403,0.078183
96.000000,0.103360,0.458839
97.000000,0.846781,0.198559
98.000000,0.427348,0.334563
99.000000,-0.817852,0.206721
100.000000,-0.467503,0.320070
101.000000,0.139661,0.444464
102.000000,0.647457,0.258668
103.000000,2.004105,0.022529
104.000000,2.587843,0.004829
105.000000,3.154477,0.000804
106.000000,3.545437,0.000196
107.000000,3.187206,0.000718
108.000000,2.314881,0.010310
109.000000,1.743917,0.040587
110.000000,1.841206,0.032796
111.000000,1.577931,0.057291
112.000000,1.712233,0.043427
113.000000,-0.606753,0.272008
114.000000,-0.307030,0.379410
115.000000,-0.945734,0.172142
116.000000,1.039982,0.149174
117.000000,1.565329,0.058753
118.000000,1.996329,0.022949
119.000000,2.297983,0.010781
120.000000,3.579900,0.000172
121.000000,2.710188,0.003362
122.000000,0.665993,0.252708
123.000000,0.942847,0.172880
124.000000,0.666253,0.252625
125.000000,0.336390,0.368288
126.000000,-0.765052,0.222120
127.000000,-0.527502,0.298922
128.000000,-0.883811,0.188399
129.000000,0.395943,0.346073
130.000000,1.625052,0.052076
131.000000,2.589643,0.004804
132.000000,3.695440,0.000110
133.000000,4.048760,0.000026
134.000000,4.287875,0.000009
135.000000,3.950935,0.000039
136.000000,3.363053,0.000385
137.000000,3.042129,0.001175
138.000000,1.666930,0.047764
139.000000,1.362298,0.086552
140.000000,-0.621796,0.267038
141.000000,1.306876,0.095627
142.000000,1.017253,0.154516
143.000000,-0.522344,0.300716
144.000000,0.410769,0.340621
145.000000,0.867494,0.192836
146.000000,2.810775,0.002471
147.000000,3.394115,0.000344
148.000000,3.951917,0.000039
149.000000,3.260067,0.000557
150.000000,1.326993,0.092255
151.000000,1.642779,0.050214
152.000000,0.683528,0.247137
153.000000,0.010395,0.495853
154.000000,0.702296,0.241247
155.000000,-0.942944,0.172855
156.000000,-0.655381,0.256111
157.000000,0.992477,0.160483
158.000000,2.062898,0.019561
159.000000,3.140876,0.000842
160.000000,3.674379,0.000119
161.000000,4.072310,0.000023
162.000000,4.533787,0.000003
163.000000,4.378301,0.000006
164.000000,3.869342,0.000055
165.000000,3.149634,0.000817
166.000000,1.840854,0.032821
167.000000,0.090572,0.463916
168.000000,0.602293,0.273489
169.000000,1.791587,0.036600
170.000000,0.869296,0.192343
171.000000,1.740660,0.040872
172.000000,-1.255775,0.104599
173.000000,0.388758,0.348728
174.000000,0.680542,0.248081
175.000000,2.783092,0.002692
176.000000,3.314320,0.000459
177.000000,2.307483,0.010514
178.000000,1.287829,0.098903
179.000000,0.274871,0.391708
180.000000,-0.721667,0.235250
181.000000,0.013033,0.494801
182.000000,-0.706796,0.239847
183.000000,-0.980707,0.163369
184.000000,-0.589554,0.277745
185.000000,0.247567,0.402235
186.000000,2.025560,0.021405
187.000000,2.469134,0.006772
188.000000,3.335932,0.000425
189.000000,3.980366,0.000034
190.000000,4.281268,0.000009
191.000000,4.006805,0.000031
192.000000,3.458779,0.000271
193.000000,3.003838,0.001333
194.000000,2.390432,0.008414
195.000000,0.734359,0.231365
196.000000,0.315817,0.376071
197.000000,-1.156655,0.123707
198.000000,-0.724083,0.234507
199.000000,0.443928,0.328547
200.000000,0.405945,0.342392
201.000000,-0.470866,0.318868
202.000000,0.769138,0.220906
203.000000,0.855394,0.196166
204.000000,1.884979,0.029716
205.000000,1.771697,0.038222
206.000000,0.695376,0.243410
207.000000,-0.512882,0.304017
208.000000,-0.342040,0.366161
209.000000,-0.664832,0.253079
210.000000,-1.349898,0.088524
211.000000,-2.134847,0.016387
212.000000,0.974166,0.164987
213.000000,-0.531061,0.297688
214.000000,1.593350,0.055541
215.000000,1.902761,0.028536
216.000000,2.960755,0.001534
217.000000,3.606783,0.000155
218.000000,3.728961,0.000096
219.000000,3.507461,0.000226
220.000000,2.539406,0.005552
221.000000,2.390544,0.008412
222.000000,1.382225,0.083451
223.000000,0.877341,0.190151
224.000000,1.562933,0.059034
225.000000,0.018510,0.492616
226.000000,-1.119743,0.131412
227.000000,-0.989315,0.161255
228.000000,-1.768518,0.038487
229.000000,0.220723,0.412654
230.000000,-0.045278,0.481943
231.000000,0.700399,0.241839
232.000000,0.751139,0.226285
233.000000,1.001320,0.158336
234.000000,1.155999,0.123841
235.000000,-1.285756,0.099264
236.000000,-0.941210,0.173299
237.000000,-0.206353,0.418257
238.000000,-0.985438,0.162205
239.000000,-1.392569,0.081875
240.000000,1.220623,0.111114
241.000000,1.094526,0.136862
242.000000,1.309713,0.095146
243.000000,1.402268,0.080418
244.000000,2.131937,0.016506
245.000000,2.454052,0.007063
246.000000,2.737872,0.003092
247.000000,2.697578,0.003492
248.000000,2.209193,0.013581
249.000000,0.862413,0.194230
250.000000,1.320623,0.093314
251.000000,-0.261030,0.397035
252.000000,0.662298,0.253890
253.000000,-2.544181,0.005477
254.000000,0.733826,0.231527
255.000000,0.750587,0.226451
256.000000,-1.768476,0.038491
257.000000,-1.238302,0.107802
258.000000,0.746249,0.227758
259.000000,0.476533,0.316847
260.000000,-0.357161,0.360486
261.000000,-1.004036,0.157681
262.000000,-0.548068,0.291823
263.000000,-1.888382,0.029487
264.000000,0.063080,0.474851
265.000000,-0.519121,0.301838
266.000000,0.487701,0.312881
267.000000,-1.363454,0.086370
268.000000,-0.676552,0.249345
269.000000,0.694209,0.243776
270.000000,1.468797,0.070944
271.000000,1.006590,0.157066
272.000000,1.405989,0.079864
273.000000,1.628729,0.051685
274.000000,2.776339,0.002749
275.000000,2.941921,0.001631
276.000000,2.958122,0.001548
277.000000,0.937032,0.174371
278.000000,0.593314,0.276486
279.000000,0.451118,0.325952
280.000000,0.768478,0.221102
281.000000,0.494864,0.310348
282.000000,-0.984076,0.162539
283.000000,-0.102355,0.459238
284.000000,-0.836979,0.201302
285.000000,-0.938117,0.174092
286.000000,-1.743273,0.040643
287.000000,0.415645,0.338835
288.000000,-0.500015,0.308532
289.000000,-1.160450,0.122933
290.000000,-1.702941,0.044290
291.000000,-2.634984,0.004207
292.000000,-1.221241,0.110997
293.000000,-0.112157,0.455349
294.000000,-2.055545,0.019913
295.000000,0.801938,0.211294
296.000000,0.287811,0.386746
297.000000,-1.411568,0.079039
298.000000,1.118449,0.131688
299.000000,1.388913,0.082430
300.000000,1.316056,0.094078
301.000000,1.092403,0.137328
302.000000,1.384732,0.083067
303.000000,1.316824,0.093949
304.000000,0.889582,0.186845
305.000000,0.310107,0.378240
